group,Source,Record.Type,ID,species,spp,Latitude,Longitude,Collector,Date collected,Sex,Data.Resource.Name
ALA,Atlas of Living Australia,Museum Record,R31443,apraefrontalis,Aipysurus apraefrontalis,-22,114.3,"Bathgate, D.G.",,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R47748,apraefrontalis,Aipysurus apraefrontalis,-22,114.3,"Lane, M.",,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R157818,apraefrontalis,Aipysurus apraefrontalis,-22.1,114.1,"Morrison ,S.",,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R154747,pooleorum,Aipysurus laevis pooleorum,-26.408056,113.773056,"Morrison ,S.",2004-03-29,Female,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R67488,pooleorum,Aipysurus laevis pooleorum,-25.916667,113.533333,"Bryce, G.",1979-10-10,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R31177,pooleorum,Aipysurus laevis pooleorum,-25.916667,113.533333,"Slack-Smith, R.J.",,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R98800,pooleorum,Aipysurus laevis pooleorum,-24.666667,113.333333,CALM,,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R11140,pooleorum,Aipysurus laevis pooleorum,-25.833333,113.25,"Department of Fisheries, WA",,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R21364,pooleorum,Aipysurus laevis pooleorum,-25.833333,113.25,"Poole ,W.",,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R22419,pooleorum,Aipysurus laevis pooleorum,-25.833333,113.25,"Bathgate, D.G.",,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R165709,pooleorum,Aipysurus laevis pooleorum,-25.236667,113.1775,"Parry, G.",2006-02-10,Female,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.37138,laevis,Aipysurus laevis laevis,-12.233,123.083,Alpha Helix Expedition,,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.40491,laevis,Aipysurus laevis laevis,-17.083,146.183,Alpha Helix Expedition,,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.41507,laevis,Aipysurus laevis laevis,-12.2,123.083,Alpha Helix Expedition,,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.41523,laevis,Aipysurus laevis laevis,-12.2,123.083,Alpha Helix Expedition,,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.41527,laevis,Aipysurus laevis laevis,-12.2,123.083,Alpha Helix Expedition,1973-01-04,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.41524,laevis,Aipysurus laevis laevis,-17.083,146.183,Alpha Helix Expedition,,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.41528,laevis,Aipysurus laevis laevis,-14,121.833,Alpha Helix Expedition,,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.41532,laevis,Aipysurus laevis laevis,-12.2,123.083,Alpha Helix Expedition,1973-01-01,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.41529,laevis,Aipysurus laevis laevis,-12.2,123.083,Alpha Helix Expedition,,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.41539,laevis,Aipysurus laevis laevis,-12.2,123.083,Alpha Helix Expedition,,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.119395,laevis,Aipysurus laevis laevis,-22.166,152.033,"Heatwole, H",,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.119396,laevis,Aipysurus laevis laevis,-22.166,152.033,"Heatwole, H",,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,J21363,laevis,Aipysurus laevis laevis,-24.8,152.466667,,1971-01-06,Female,Queensland Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,J23890,laevis,Aipysurus laevis laevis,-24.7,152.383333,,1971-01-21,,Queensland Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,J23891,laevis,Aipysurus laevis laevis,-24.7,152.383333,,1971-01-21,,Queensland Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,J83691,laevis,Aipysurus laevis laevis,-15.51,137.676667,,2001-01-03,Male,Queensland Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.104812,laevis,Aipysurus laevis laevis,-19.65,117.883,"Paxton, J",1982-03-26,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.104813,laevis,Aipysurus laevis laevis,-19.65,117.883,"Paxton, J",1982-03-26,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.104814,laevis,Aipysurus laevis laevis,-19.65,117.883,"Paxton, J",1982-03-26,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,D55409,laevis,Aipysurus laevis laevis,-20.18,116.13,Dr Martin F. Gomon - Museum Victoria,1981-03-09,,Museums Victoria provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R26519,laevis,Aipysurus laevis laevis,-10.145,129.557,,1995-03-17,,Northern Territory Museum and Art Gallery provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,J73318,laevis,Aipysurus laevis laevis,-21.161667,151.351667,,2000-03-14,,Queensland Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R76485,laevis,Aipysurus laevis laevis,-20.116667,116.166667,"SINCLAIR,N.",1981-03-09,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,100217,laevis,Aipysurus laevis laevis,-21.25,155.75,GJE,2017-03-01,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,100414,laevis,Aipysurus laevis laevis,-21.2,155.77,GJE,2017-03-02,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,102394,laevis,Aipysurus laevis laevis,-21.25,155.76,GJE,2017-03-01,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,102465,laevis,Aipysurus laevis laevis,-21.25,155.76,GJE,2017-03-01,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,102664,laevis,Aipysurus laevis laevis,-21.2,155.77,GJE,2017-03-02,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,102665,laevis,Aipysurus laevis laevis,-21.2,155.77,GJE,2017-03-02,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,104692,laevis,Aipysurus laevis laevis,-21.25,155.76,GJE,2017-03-01,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,106735,laevis,Aipysurus laevis laevis,-21.92,153.58,CK,2017-03-06,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,106734,laevis,Aipysurus laevis laevis,-21.92,153.58,CK,2017-03-06,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,107674,laevis,Aipysurus laevis laevis,-21,154.39,GJE,2017-03-04,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,99881,laevis,Aipysurus laevis laevis,-19.25,152.35,YMS,2017-03-19,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,212897,laevis,Aipysurus laevis laevis,-14.14856096,136.351172,,1984-02-10,,Fauna Atlas N.T.
ALA,Atlas of Living Australia,Museum Record,212898,laevis,Aipysurus laevis laevis,-14.14856096,136.351172,,1984-02-11,,Fauna Atlas N.T.
ALA,Atlas of Living Australia,Museum Record,212900,laevis,Aipysurus laevis laevis,-13.5485611,136.8511639,,1984-02-04,,Fauna Atlas N.T.
ALA,Atlas of Living Australia,Museum Record,213109,laevis,Aipysurus laevis laevis,-13.5485611,136.8511639,,1984-02-05,,Fauna Atlas N.T.
ALA,Atlas of Living Australia,Museum Record,213111,laevis,Aipysurus laevis laevis,-12.94856473,136.6511631,,1984-02-06,,Fauna Atlas N.T.
ALA,Atlas of Living Australia,Museum Record,213112,laevis,Aipysurus laevis laevis,-12.8485652,136.6511626,,1984-02-08,,Fauna Atlas N.T.
ALA,Atlas of Living Australia,Museum Record,545620-39125007,laevis,Aipysurus laevis laevis,-10.26667,142.945,,1997-02-15,,"CSIRO, Cruises, Vertebrate and Invertebrate Fishery Bycatch, North Australia, 1997 - Version 6"
ALA,Atlas of Living Australia,Museum Record,R.95068,laevis,Aipysurus laevis laevis,-14.183,141.383,CSIRO,1978-02-03,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,J81802,laevis,Aipysurus laevis laevis,-10.276667,142.931667,,1997-02-15,Male,Queensland Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,J28387,laevis,Aipysurus laevis laevis,-27.416667,153.533333,,1977-02-05,,Queensland Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,J70799,laevis,Aipysurus laevis laevis,-25.55,153.12,,1996-02-14,,Queensland Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R14136,laevis,Aipysurus laevis laevis,-17.95,122.2,"MACDONALD,A.",1962-02-20,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,545620-39125007,laevis,Aipysurus laevis laevis,-10.26667,142.945,,1997-02-15,,"CSIRO, Cruises, Vertebrate and Invertebrate Fishery Bycatch, North Australia, 1997 - Version 6.0"
ALA,Atlas of Living Australia,Museum Record,102260,laevis,Aipysurus laevis laevis,-21.26,155.75,GJE,2017-02-28,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,91948,laevis,Aipysurus laevis laevis,-22.17,155.48,GJE,2017-02-24,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,93571,laevis,Aipysurus laevis laevis,-23.24,155.54,GJE,2017-02-22,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,257866-39125007,laevis,Aipysurus laevis laevis,-23.845,152.405,,2004-04-15,,"CSIRO, Benthic Plant Invertebrate and Fish Biodiversity, Great Barrier Reef, Northeast Australia, 2003-2006 - Version 7"
ALA,Atlas of Living Australia,Museum Record,257878-39125007,laevis,Aipysurus laevis laevis,-23.295,151.595,,2004-04-21,,"CSIRO, Benthic Plant Invertebrate and Fish Biodiversity, Great Barrier Reef, Northeast Australia, 2003-2006 - Version 7"
ALA,Atlas of Living Australia,Museum Record,R.104808,laevis,Aipysurus laevis laevis,-20,117.266,"Paxton, J",1982-04-16,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.140934,laevis,Aipysurus laevis laevis,-12.8,141.616,"Ward, T",1990-04-18,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,257866-39125007,laevis,Aipysurus laevis laevis,-23.845,152.405,,2004-04-15,,"CSIRO, Benthic Plant Invertebrate and Fish Biodiversity, Great Barrier Reef, Northeast Australia, 2003-2006 - Version 7.0"
ALA,Atlas of Living Australia,Museum Record,257878-39125007,laevis,Aipysurus laevis laevis,-23.295,151.595,,2004-04-21,,"CSIRO, Benthic Plant Invertebrate and Fish Biodiversity, Great Barrier Reef, Northeast Australia, 2003-2006 - Version 7.0"
ALA,Atlas of Living Australia,Museum Record,1869_2_6696,laevis,Aipysurus laevis laevis,-16.95060158,146.3847351,,2004-04-28,,Ocean Biogeographic Information System
ALA,Atlas of Living Australia,Museum Record,2279_1_6777,laevis,Aipysurus laevis laevis,-18.84365654,146.6612091,,2004-04-27,,Ocean Biogeographic Information System
